Day명,단어,뜻1,뜻2,문장1,문장1해석,문장2,문장2해석
Day 47,focus,집중하다 ((on))    명 초점,중점,They only focus on their grades.,그들은 오직 성적에만 집중한다.,the main focus,주된 초점
Day 47,huge,(크기가) 거대한,,China is a huge country.,중국은 거대한 국가이다.,0001 tall (,키가 큰)
Day 47,marry,결혼하다,,He married her two years ago.,그는 2년 전에 그녀와 결혼했다.,marriage,명 결혼
Day 47,reach,도착[도달]하다,(손이) 닿다,"After weeks, I finally reached land.","교과서 몇 주 후, 나는 마침내 육지에 도착했다.",I can't reach the bottle.,나는 그 병에 손이 닿지 않는다.
Day 47,tradition,통,관습,Korea has a tradition of making kites.,한국에는 연을 만드는 전통이 있다.,follow[break] a tradition,전통을 따르다[깨다]
Day 47,script,본,각본,The actor is reading a script.,그 배우는 대본을 읽고 있다.,DAY,
Day 47,president,대통령,"회장, 사장",He is the president of Brazil.,그는 브라질의 대통령이다.,a bank president,은행장
Day 47,nobody,아무도 … 않다,아무도 없다,Nobody can understand me.,아무도 나를 이해하지 못한다.,0887 nothing,대 아무것도 … 아니다[없다]
Day 47,chew,(음식을) 씹다,,I like to chew gum after lunch.,"나는 점심 식사 후에 껌을 씹는 걸 좋아한다. 사람들은 수천 년 전부터 무언가를 씹는 습관이 있었습니다. 예를 들어, 마야 문명 때",chewing gum (,씹는 껌)
Day 47,upset,속상한    동 속상하게 하다[만들다],,He was upset because he lost his keys.,그는 열쇠를 잃어버려서 속상했다.,Don't upset your sister by teasing her.,너의 여동생을 괴롭혀서 속상하게 하지 마라.
Day 47,sticky,끈적거리는,달라붙는,My hands are sticky after eating chocolate.,초콜릿을 먹고 나서 내 손이 끈적거린다.,DAY 47,
Day 47,make it,"성공하다, 해내다",시간 맞춰 가다,I believe you will make it.,나는 네가 해낼 것이라 믿는다.,He couldn't make it to the concert.,그는 그 콘서트에 시간 맞춰 갈 수 없었다.
Day 47,over and over,반복해서,,She read the book over and over.,그녀는 그 책을 반복해서 읽었다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 48,hunter,사냥꾼,,The rabbits ran away from the hunter.,토끼들이 그 사냥꾼으로부터 도망쳤다.,0907 hunt,동 사냥하다; 명 사냥
Day 48,melt,녹다,녹이다,This ice cream melts very slowly.,교과서 이 아이스크림은 매우 천천히 녹는다.,Melt the cheese in the oven.,오븐에서 치즈를 녹여라.
Day 48,tower,탑,,The Eiffel Tower is in France.,에펠탑은 프랑스에 있다.,1. ,"에펠탑 (Eiffel Tower, 프랑스): 파리의 랜드마크로, 1889년 만국 박람회를 위해"
Day 48,owner,주인,소유자,owner.,교과서 우리는 고양이 한 마리와 그 주인에 관한 놀라운 이야기를 들었다.,0908 own,형 자기 자신의; 동 소유하다
Day 48,factory,공장,,He works in a car factory.,그는 자동차 공장에서 일한다.,,
Day 48,machine,기계,,How can I use the machine?,그 기계는 어떻게 사용하니?,a washing machine,세탁기
Day 48,common,흔한,"공통의, 공동의",My name is very common.,내 이름은 매우 흔하다.,We share a common language.,우리는 공동어를 사용한다.
Day 48,enemy,적,"(전쟁 시의) 적국, 적군",She has made a lot of enemies at work.,그녀는 직장에 많은 적을 만들었다.,beat the enemy,적군을 물리치다
Day 48,guide,안내자,가이드    동 안내하다,He is a tour guide.,그는 관광 안내자이다.,She guides tourists in a VR world.,교과서 그녀는 가상현실 세계에서 관광객들을 안내한다.
Day 48,lock,잠기다,잠그다     명 자물쇠,Did you lock the door?,너 문 잠갔니?,She put the key in the lock.,그녀는 열쇠를 자물쇠에 꽂았다.
Day 48,memory,기억(력),"추억, 기억",I have a good[bad] memory.,나는 기억력이 좋다[나쁘다].,We have happy memories of the trip.,우리는 그 여행에 대해 행복한 추억을 가지고 있다.
Day 48,slice,(음식을 얇게 썬) 조각,,He ate the cracker with a slice of cheese.,그는 크래커를 치즈 한 조각과 함께 먹었다.,a slice of:,"한 조각의 (주로 빵, 치즈, 피자 등을 얇게 썬 것)"
Day 48,emotion,감정,정서,He couldn't hide his emotions.,그는 그의 감정을 숨길 수 없었다.,emotional,형 감정적인
Day 48,power,"힘, 능력","동력, 에너지",Small acts have real power.,작은 행동들이 진정한 힘을 갖고 있다.,wind power,풍력
Day 48,final,마지막의,최후의    명 결승(전),This is your final chance.,이번이 너의 마지막 기회이다.,final exams,기말고사
Day 48,program,(TV 등의) 프로그램,,I watched a quiz program on TV.,,,
Day 48,ankle,발목,,He injured his ankle.,교과서 그는 발목을 다쳤다.,,
Day 48,maybe,어쩌면,아마,Maybe she doesn't understand the problem.,교과서 어쩌면 그녀는 그 문제를 이해하지 못하는 것 같다.,DAY 48,
Day 48,turn down,"(소리 등을) 낮추다, 줄이다 turn up",거절하다,Please turn down the music.,음악 소리를 낮춰 주세요.,She turned down the job.,그녀는 그 일자리를 거절했다.
Day 48,such as,…와 같은,,I like fruits such as apples and grapes.,나는 사과와 포도 같은 과일을 좋아한다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 49,wild,야생의,,A lot of wild animals live in the forest.,많은 야생 동물들이 그 숲에 산다.,bear (,곰) fox (여우) wolf (늑대) deer (사슴)
Day 49,slide,(slid-slid) 미끄러지다    명 미끄럼틀,,The car slid down the hill.,그 차는 언덕을 미끄러져 내려갔다.,The children are playing on the slide.,그 아이들은 미끄럼틀 위에서 놀고 있다.
Day 49,culture,문화,,Every country has its own culture.,모든 나라는 그 나라만의 문화를 가지고 있다.,cultural,"형 문화의, 문화와 관련된"
Day 49,outdoor,야외의,,I like outdoor sports.,나는 야외 스포츠를 좋아한다.,DAY,
Day 49,plastic,플라스틱,,I took some plastic to a recycling machine.,교과서 나는 플라스틱을 재활용 기계로 가져갔다.,,
Day 49,report,보고(서)    동 보고하다,발표하다,I wrote a report on health.,나는 건강에 관한 보고서를 썼다.,He reported the problem to his boss.,그는 그 문제를 상사에게 보고했다.
Day 49,national,국가의,국가적인,He became a national hero.,그는 국가적인 영웅이 되었다.,nation,"명 국가, 나라"
Day 49,recycle,재활용하다,재생하여 이용하다,We should recycle paper to protect trees.,우리는 나무를 보호하기 위해 종이를 재활용해야 한다.,,
Day 49,traditional,통의,전통적인,Pachisi is a traditional board game from India.,교과서 파치시는 인도의 전통적인 보드 게임이다.,0932 tradition,"명 전통, 관습"
Day 49,invite,초대하다,,He invited a new person to the club.,교과서 그는 그 동아리에 새로운 사람을 초대했다.,invitation,"명 초대(장), 초청(장)"
Day 49,mean,(meant-meant) 의미하다,,"That sign means ""stop.""",저 표지판은 ‘멈춤'을 의미한다.,meaning,"명 의미, 뜻"
Day 49,total,총,전체의    명 합계,The total number of people in the gym is eighty.,그 체육관의 전체 사람 수는 80명이다.,The total is $30.,총액은 30달러이다.
Day 49,coupon,쿠폰,할인권,You can get 20% off with this coupon.,너는 이 쿠폰으로 20%를 할인받을 수 있다.,DAY,
Day 49,curious,궁금한,호기심이 강한,I am curious about my new classmates.,나는 내 새로운 학급 친구들이 궁금하다.,curiosity,명 호기심
Day 49,journey,여행,여정,He started his journey around the world last year.,그는 작년에 세계 일주를 시작했다.,,
Day 49,please,디,제발    동 기쁘게[즐겁게] 하다,Please forgive me.,교과서 부디 저를 용서해 주세요.,The magic show will please your eyes.,그 마술쇼는 너의 눈을 즐겁게 할 것이다.
Day 49,royal,왕실의,왕족의,He is part of the royal family.,그는 왕족의 일원이다.,,
Day 49,explain,설명하다,,I don't understand. Can you explain it again?,이해가 안 돼. 다시 설명해 줄 수 있어?,explanation,명 설명
Day 49,because of,… 때문에,,I was late because of the traffic.,나는 교통 때문에 늦었다.,because,접 … 때문에
Day 49,at last,마침내,,Spring is coming at last.,마침내 봄이 오고 있다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 50,finally,마침내,결국,We finally arrived in our hometown.,우리는 마침내 고향에 도착했다.,0955 final,"형 마지막의, 최후의; 결승(전)"
Day 50,powerful,강력한,,AI is becoming more powerful.,인공지능이 더 강력해지고 있다.,0954 power,"명 힘, 능력"
Day 50,desert,사막,,The desert is usually hot and dry.,사막은 보통 덥고 건조하다.,,
Day 50,degree,[각도 • 온도의 단위] 도(度),정도 an angle of fifty degrees 50도의 각도,I can't help you to that degree.,내가 그 정도로 도와줄 순 없어.,5o,
Day 50,return,"돌아가다, 돌아오다","돌려주다, 반납하다 명 돌아감, 귀환",She returned to her home.,그녀는 집으로 돌아갔다.,She returned the paper to him.,교과서 그녀는 그 종이를 그에게 돌려주었다.
Day 50,refrigerator,냉장고,,She took the juice out of the refrigerator.,교과서 그녀는 냉장고에서 주스를 꺼냈다.,oven (,오븐)
Day 50,shower,샤워,소나기,Take quick showers to save water.,교과서 물을 절약하려면 짧게 샤워해라.,a heavy shower,강한 소나기
Day 50,freeze,(froze-frozen) (얼음이) 얼다,얼리다,The lake froze in the cold weather.,그 호수는 추운 날씨에 얼었다.,freezing,형 얼어붙는 듯한
Day 50,partner,"동료, 동업자",(스포츠 · 댄스 등의) 파트너,I started a company with my partner.,나는 동업자와 회사를 차렸다.,a dance partner,댄스 파트너
Day 50,tongue,혀,언어,The giraffe has a long tongue.,기린은 긴 혀를 가지고 있다.,the mother tongue,모국어
Day 50,spread,"(spread-spread) 1. 펴다, 펼치다",(소문 · 정보 등이) 퍼지다,He spread out the map on the desk.,그는 책상 위에 그 지도를 펼쳤다.,The news spread so quickly.,그 소식은 매우 빠르게 퍼졌다.
Day 50,editor,편집자,,shooting is over.,"교과서 나는 영화 편집자이고, 촬영이 끝난 후 내 작업이 시작된다.",edit,동 편집하다
Day 50,reporter,(보도) 기자,리포터,A reporter asked me about the event.,한 기자가 내게 그 사건에 대해 물었다.,0966 report,"명 보고(서); 동 보고하다, 발표하다"
Day 50,else,그 밖의,다른,I don't want anything else for my birthday.,나는 내 생일에 다른 것을 원하지 않는다.,,
Day 50,chip,"(과자류의) 얇은 조각, 칩",((-s)) 감자튀김,Eat the tofu chips with honey.,교과서 그 두부 칩을 꿀과 함께 먹어라.,fish and chips,생선살 튀김과 감자튀김
Day 50,opera,오페라,,We saw a famous opera last night.,우리는 지난밤 유명한 오페라를 보았다.,,
Day 50,slip,미끄러지다,미끄러져 넘어지다,Be careful not to slip on the ice!,얼음위에서 미끄러지지 않도록 조심해!,slippery,형 미끄러운
Day 50,prepare,준비하다,마련하다,I need to prepare for the big test tomorrow.,나는 내일 있을 큰 시험을 준비해야 한다.,preparation,명 준비
Day 50,once upon,옛날 옛적에,,"Once upon a time, there was a nice prince.","옛날 옛적에, 한 멋진 왕자가 있었다.",,
Day 50,have ... in,공통적으로 …을 가지다,,We have nothing in common.,우리는 공통점이 전혀 없다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
